down | strategy | tol | ncall | sigma_tot
0.95 | 0.00 | 5.0 | 300 | 108.676
0.95 | 0.00 | 5.0 | 400 | 108.676
0.95 | 0.00 | 5.0 | 500 | 108.676
0.95 | 0.00 | 1.0 | 500 | 108.606
0.95 | 0.00 | 5.0 | 600 | 108.676
0.95 | 0.00 | 5.0 | 700 | 108.676
0.95 | 0.00 | 5.0 | 800 | 108.676
0.95 | 0.00 | 0.01 | 800 | 109.052
0.95 | 2.00 | 5.0 | 300 | 109.053
0.95 | 2.00 | 5.0 | 400 | 109.047
0.95 | 2.00 | 1.0 | 400 | 109.049
0.95 | 2.00 | 0.1 | 400 | 109.051
0.95 | 2.00 | 5.0 | 500 | 109.047
0.95 | 2.00 | 1.0 | 500 | 109.049
0.95 | 2.00 | 0.1 | 500 | 109.051
0.95 | 2.00 | 0.01 | 500 | 109.052
0.95 | 2.00 | 5.0 | 600 | 109.047
0.95 | 2.00 | 1.0 | 600 | 109.049
0.95 | 2.00 | 0.1 | 600 | 109.051
0.95 | 2.00 | 0.01 | 600 | 109.052
0.95 | 2.00 | 5.0 | 700 | 109.047
0.95 | 2.00 | 1.0 | 700 | 109.049
0.95 | 2.00 | 0.1 | 700 | 109.051
0.95 | 2.00 | 0.01 | 700 | 109.052
0.95 | 2.00 | 5.0 | 800 | 109.047
0.95 | 2.00 | 1.0 | 800 | 109.049
0.95 | 2.00 | 0.1 | 800 | 109.051
0.95 | 2.00 | 0.01 | 800 | 109.052
0.96 | 0.00 | 0.1 | 500 | 109.164
0.96 | 0.00 | 0.01 | 500 | 109.164
0.96 | 0.00 | 0.1 | 600 | 109.164
0.96 | 0.00 | 0.01 | 600 | 109.164
0.96 | 0.00 | 0.1 | 700 | 109.164
0.96 | 0.00 | 0.01 | 700 | 109.164
0.96 | 0.00 | 0.1 | 800 | 109.164
0.96 | 0.00 | 0.01 | 800 | 109.164
0.96 | 2.00 | 1.0 | 300 | 110.108
0.96 | 2.00 | 1.0 | 400 | 110.108
0.96 | 2.00 | 5.0 | 500 | 109.196
0.96 | 2.00 | 1.0 | 500 | 110.108
0.96 | 2.00 | 0.01 | 500 | 109.164
0.96 | 2.00 | 5.0 | 600 | 109.196
0.96 | 2.00 | 1.0 | 600 | 110.108
0.96 | 2.00 | 0.1 | 600 | 109.161
0.96 | 2.00 | 0.01 | 600 | 109.164
0.96 | 2.00 | 5.0 | 700 | 109.159
0.96 | 2.00 | 1.0 | 700 | 110.108
0.96 | 2.00 | 0.1 | 700 | 109.165
0.96 | 2.00 | 0.01 | 700 | 109.164
0.96 | 2.00 | 5.0 | 800 | 109.159
0.96 | 2.00 | 1.0 | 800 | 110.108
0.96 | 2.00 | 0.1 | 800 | 109.165
0.96 | 2.00 | 0.01 | 800 | 109.164
0.97 | 0.00 | 0.01 | 500 | 109.279
0.97 | 0.00 | 0.01 | 600 | 109.279
0.97 | 0.00 | 0.01 | 700 | 109.279
0.97 | 0.00 | 0.01 | 800 | 109.279
0.97 | 2.00 | 5.0 | 300 | 110.001
0.97 | 2.00 | 1.0 | 300 | 109.987
0.97 | 2.00 | 5.0 | 400 | 110.001
0.97 | 2.00 | 1.0 | 400 | 109.987
0.97 | 2.00 | 5.0 | 500 | 110.001
