# b [GeV^-1]    Re(chi)    Im(chi)
#
   0.11300000E+02   0.00000000E+00   0.50749544E+00
   0.11400000E+02   0.00000000E+00   0.48025637E+00
   0.11500000E+02   0.00000000E+00   0.45432780E+00
   0.11600000E+02   0.00000000E+00   0.42965893E+00
   0.11700000E+02   0.00000000E+00   0.40619988E+00
   0.11800000E+02   0.00000000E+00   0.38390171E+00
   0.11900000E+02   0.00000000E+00   0.36271653E+00
   0.12000000E+02   0.00000000E+00   0.34259748E+00
   0.12100000E+02   0.00000000E+00   0.32349885E+00
   0.12200000E+02   0.00000000E+00   0.30537605E+00
   0.12300000E+02   0.00000000E+00   0.28818568E+00
   0.12400000E+02   0.00000000E+00   0.27188556E+00
   0.12500000E+02   0.00000000E+00   0.25643474E+00
   0.12600000E+02   0.00000000E+00   0.24179353E+00
   0.12700000E+02   0.00000000E+00   0.22792347E+00
   0.12800000E+02   0.00000000E+00   0.21478743E+00
   0.12900000E+02   0.00000000E+00   0.20234953E+00
   0.13000000E+02   0.00000000E+00   0.19057516E+00
   0.13100000E+02   0.00000000E+00   0.17943103E+00
   0.13200000E+02   0.00000000E+00   0.16888510E+00
   0.13300000E+02   0.00000000E+00   0.15890659E+00
   0.13400000E+02   0.00000000E+00   0.14946599E+00
   0.13500000E+02   0.00000000E+00   0.14053503E+00
   0.13600000E+02   0.00000000E+00   0.13208664E+00
   0.13700000E+02   0.00000000E+00   0.12409499E+00
   0.13800000E+02   0.00000000E+00   0.11653539E+00
   0.13900000E+02   0.00000000E+00   0.10938433E+00
   0.14000000E+02   0.00000000E+00   0.10261940E+00
   0.14100000E+02   0.00000000E+00   0.96219336E-01
   0.14200000E+02   0.00000000E+00   0.90163900E-01
   0.14300000E+02   0.00000000E+00   0.84433916E-01
   0.14400000E+02   0.00000000E+00   0.79011212E-01
   0.14500000E+02   0.00000000E+00   0.73878591E-01
   0.14600000E+02   0.00000000E+00   0.69019798E-01
   0.14700000E+02   0.00000000E+00   0.64419485E-01
   0.14800000E+02   0.00000000E+00   0.60063180E-01
   0.14900000E+02   0.00000000E+00   0.55937245E-01
   0.15000000E+02   0.00000000E+00   0.52028848E-01
   0.15100000E+02   0.00000000E+00   0.48325924E-01
   0.15200000E+02   0.00000000E+00   0.44817144E-01
   0.15300000E+02   0.00000000E+00   0.41491875E-01
   0.15400000E+02   0.00000000E+00   0.38340149E-01
   0.15500000E+02   0.00000000E+00   0.35352629E-01
   0.15600000E+02   0.00000000E+00   0.32520577E-01
   0.15700000E+02   0.00000000E+00   0.29835818E-01
   0.15800000E+02   0.00000000E+00   0.27290709E-01
   0.15900000E+02   0.00000000E+00   0.24878110E-01
   0.16000000E+02   0.00000000E+00   0.22591353E-01
   0.16100000E+02   0.00000000E+00   0.20424210E-01
   0.16200000E+02   0.00000000E+00   0.18370868E-01
   0.16300000E+02   0.00000000E+00   0.16425898E-01
   0.16400000E+02   0.00000000E+00   0.14584231E-01
   0.16500000E+02   0.00000000E+00   0.12841135E-01
   0.16600000E+02   0.00000000E+00   0.11192182E-01
   0.16700000E+02   0.00000000E+00   0.96332361E-02
   0.16800000E+02   0.00000000E+00   0.81604219E-02
   0.16900000E+02   0.00000000E+00   0.67701090E-02
   0.17000000E+02   0.00000000E+00   0.54588899E-02
   0.17100000E+02   0.00000000E+00   0.42235618E-02
   0.17200000E+02   0.00000000E+00   0.30611086E-02
   0.17300000E+02   0.00000000E+00   0.19686846E-02
   0.17400000E+02   0.00000000E+00   0.94359884E-03
   0.17500000E+02   0.00000000E+00  -0.16699519E-04    WARNING: Negative imaginary part detected at b = 17.50
   0.17600000E+02   0.00000000E+00  -0.91463460E-03    WARNING: Negative imaginary part detected at b = 17.60
   0.17700000E+02   0.00000000E+00  -0.17525163E-02    WARNING: Negative imaginary part detected at b = 17.70
   0.17800000E+02   0.00000000E+00  -0.25325517E-02    WARNING: Negative imaginary part detected at b = 17.80
   0.17900000E+02   0.00000000E+00  -0.32568559E-02    WARNING: Negative imaginary part detected at b = 17.90
   0.18000000E+02   0.00000000E+00  -0.39274614E-02    WARNING: Negative imaginary part detected at b = 18.00
   0.18100000E+02   0.00000000E+00  -0.45463271E-02    WARNING: Negative imaginary part detected at b = 18.10
   0.18200000E+02   0.00000000E+00  -0.51153461E-02    WARNING: Negative imaginary part detected at b = 18.20
   0.18300000E+02   0.00000000E+00  -0.56363530E-02    WARNING: Negative imaginary part detected at b = 18.30
   0.18400000E+02   0.00000000E+00  -0.61111304E-02    WARNING: Negative imaginary part detected at b = 18.40
   0.18500000E+02   0.00000000E+00  -0.65414143E-02    WARNING: Negative imaginary part detected at b = 18.50
   0.18600000E+02   0.00000000E+00  -0.69288994E-02    WARNING: Negative imaginary part detected at b = 18.60
   0.18700000E+02   0.00000000E+00  -0.72752434E-02    WARNING: Negative imaginary part detected at b = 18.70
   0.18800000E+02   0.00000000E+00  -0.75820708E-02    WARNING: Negative imaginary part detected at b = 18.80
