down | strategy | ncall | sigma_tot
0.90 | 0.00 | 70 | 107.336
0.90 | 1.00 | 70 | 107.336
0.90 | 2.00 | 150 | 107.329
0.91 | 0.00 | 70 | 107.336
0.91 | 1.00 | 70 | 107.336
0.91 | 2.00 | 150 | 107.655
0.92 | 0.00 | 70 | 107.337
0.92 | 1.00 | 70 | 107.337
0.92 | 2.00 | 150 | 107.820
0.93 | 0.00 | 70 | 107.337
0.93 | 1.00 | 70 | 107.337
0.93 | 2.00 | 150 | 108.091
0.94 | 0.00 | 70 | 107.338
0.94 | 1.00 | 70 | 107.338
0.95 | 0.00 | 70 | 107.339
0.95 | 1.00 | 70 | 107.339
0.95 | 2.00 | 150 | 107.490
0.96 | 0.00 | 70 | 107.342
0.96 | 1.00 | 70 | 107.342
0.96 | 2.00 | 200 | 107.632
0.97 | 0.00 | 70 | 107.347
0.97 | 1.00 | 70 | 107.347
0.98 | 0.00 | 70 | 107.361
0.98 | 1.00 | 70 | 107.361
0.99 | 0.00 | 70 | 107.435
0.99 | 1.00 | 70 | 107.277
0.99 | 1.00 | 90 | 107.422
