down | strategy | tol | ncall | sigma_tot
0.99 | 0.00 | 5.0 | 300 | 103.819
0.99 | 0.00 | 1.0 | 300 | 103.811
0.99 | 0.00 | 0.1 | 300 | 103.810
0.99 | 0.00 | 0.01 | 300 | 103.810
0.99 | 0.00 | 5.0 | 400 | 103.819
0.99 | 0.00 | 1.0 | 400 | 103.811
0.99 | 0.00 | 0.1 | 400 | 103.810
0.99 | 0.00 | 0.01 | 400 | 103.810
0.99 | 0.00 | 5.0 | 500 | 103.819
0.99 | 0.00 | 1.0 | 500 | 103.811
0.99 | 0.00 | 0.1 | 500 | 103.810
0.99 | 0.00 | 0.01 | 500 | 103.810
0.99 | 0.00 | 5.0 | 600 | 103.819
0.99 | 0.00 | 1.0 | 600 | 103.811
0.99 | 0.00 | 0.1 | 600 | 103.810
0.99 | 0.00 | 0.01 | 600 | 103.810
0.99 | 0.00 | 5.0 | 700 | 103.819
0.99 | 0.00 | 1.0 | 700 | 103.811
0.99 | 0.00 | 0.1 | 700 | 103.810
0.99 | 0.00 | 0.01 | 700 | 103.810
0.99 | 0.00 | 5.0 | 800 | 103.819
0.99 | 0.00 | 1.0 | 800 | 103.811
0.99 | 0.00 | 0.1 | 800 | 103.810
0.99 | 0.00 | 0.01 | 800 | 103.810
