down | strategy | tol | ncall | sigma_tot
0.98 | 0.00 | 5.0 | 300 | 104.030
0.98 | 0.00 | 1.0 | 300 | 104.030
0.98 | 0.00 | 0.1 | 300 | 104.030
0.98 | 0.00 | 0.01 | 300 | 104.029
0.98 | 0.00 | 5.0 | 400 | 104.030
0.98 | 0.00 | 1.0 | 400 | 104.030
0.98 | 0.00 | 0.1 | 400 | 104.030
0.98 | 0.00 | 0.01 | 400 | 104.029
0.98 | 0.00 | 5.0 | 500 | 104.030
0.98 | 0.00 | 1.0 | 500 | 104.030
0.98 | 0.00 | 0.1 | 500 | 104.030
0.98 | 0.00 | 0.01 | 500 | 104.029
0.98 | 0.00 | 5.0 | 600 | 104.030
0.98 | 0.00 | 1.0 | 600 | 104.030
0.98 | 0.00 | 0.1 | 600 | 104.030
0.98 | 0.00 | 0.01 | 600 | 104.029
0.98 | 0.00 | 5.0 | 700 | 104.030
0.98 | 0.00 | 1.0 | 700 | 104.030
0.98 | 0.00 | 0.1 | 700 | 104.030
0.98 | 0.00 | 0.01 | 700 | 104.029
0.98 | 0.00 | 5.0 | 800 | 104.030
0.98 | 0.00 | 1.0 | 800 | 104.030
0.98 | 0.00 | 0.1 | 800 | 104.030
0.98 | 0.00 | 0.01 | 800 | 104.029
0.99 | 0.00 | 5.0 | 300 | 104.111
0.99 | 0.00 | 0.1 | 300 | 104.061
0.99 | 0.00 | 0.01 | 300 | 104.062
0.99 | 0.00 | 5.0 | 400 | 104.111
0.99 | 0.00 | 0.1 | 400 | 104.061
0.99 | 0.00 | 0.01 | 400 | 104.062
0.99 | 0.00 | 5.0 | 500 | 104.111
0.99 | 0.00 | 0.1 | 500 | 104.061
0.99 | 0.00 | 0.01 | 500 | 104.062
0.99 | 0.00 | 5.0 | 600 | 104.111
0.99 | 0.00 | 0.1 | 600 | 104.061
0.99 | 0.00 | 0.01 | 600 | 104.062
0.99 | 0.00 | 5.0 | 700 | 104.111
0.99 | 0.00 | 0.1 | 700 | 104.061
0.99 | 0.00 | 0.01 | 700 | 104.062
0.99 | 0.00 | 5.0 | 800 | 104.111
0.99 | 0.00 | 0.1 | 800 | 104.061
0.99 | 0.00 | 0.01 | 800 | 104.062
