down | strategy | tol | ncall | sigma_tot
0.98 | 0.00 | 1.0 | 400 | 102.072
0.98 | 0.00 | 0.1 | 400 | 102.056
0.98 | 0.00 | 0.01 | 400 | 102.056
0.98 | 0.00 | 1.0 | 500 | 102.072
0.98 | 0.00 | 0.1 | 500 | 102.056
0.98 | 0.00 | 0.01 | 500 | 102.056
0.98 | 0.00 | 1.0 | 600 | 102.072
0.98 | 0.00 | 0.1 | 600 | 102.056
0.98 | 0.00 | 0.01 | 600 | 102.056
0.98 | 0.00 | 1.0 | 700 | 102.072
0.98 | 0.00 | 0.1 | 700 | 102.056
0.98 | 0.00 | 0.01 | 700 | 102.056
0.98 | 0.00 | 1.0 | 800 | 102.072
0.98 | 0.00 | 0.1 | 800 | 102.056
0.98 | 0.00 | 0.01 | 800 | 102.056
0.98 | 2.00 | 5.0 | 400 | 102.072
0.98 | 2.00 | 1.0 | 400 | 102.055
0.98 | 2.00 | 0.1 | 400 | 102.055
0.98 | 2.00 | 5.0 | 500 | 102.072
0.98 | 2.00 | 1.0 | 500 | 102.055
0.98 | 2.00 | 0.1 | 500 | 102.057
0.98 | 2.00 | 0.01 | 500 | 102.058
0.98 | 2.00 | 5.0 | 600 | 102.072
0.98 | 2.00 | 1.0 | 600 | 102.055
0.98 | 2.00 | 0.1 | 600 | 102.057
0.98 | 2.00 | 0.01 | 600 | 102.058
0.98 | 2.00 | 5.0 | 700 | 102.072
0.98 | 2.00 | 1.0 | 700 | 102.055
0.98 | 2.00 | 0.1 | 700 | 102.057
0.98 | 2.00 | 0.01 | 700 | 102.058
0.98 | 2.00 | 5.0 | 800 | 102.072
0.98 | 2.00 | 1.0 | 800 | 102.055
0.98 | 2.00 | 0.1 | 800 | 102.057
0.98 | 2.00 | 0.01 | 800 | 102.058
0.99 | 0.00 | 1.0 | 300 | 101.976
0.99 | 0.00 | 1.0 | 400 | 101.953
0.99 | 0.00 | 1.0 | 500 | 101.953
0.99 | 0.00 | 1.0 | 600 | 101.953
0.99 | 0.00 | 0.1 | 600 | 101.961
0.99 | 0.00 | 0.01 | 600 | 101.961
0.99 | 0.00 | 1.0 | 700 | 101.953
0.99 | 0.00 | 0.1 | 700 | 101.961
0.99 | 0.00 | 0.01 | 700 | 101.961
0.99 | 0.00 | 1.0 | 800 | 101.953
0.99 | 0.00 | 0.1 | 800 | 101.961
0.99 | 0.00 | 0.01 | 800 | 101.961
0.99 | 2.00 | 5.0 | 400 | 101.955
0.99 | 2.00 | 1.0 | 400 | 101.955
0.99 | 2.00 | 5.0 | 500 | 101.955
0.99 | 2.00 | 1.0 | 500 | 101.955
0.99 | 2.00 | 5.0 | 600 | 101.955
0.99 | 2.00 | 1.0 | 600 | 101.955
0.99 | 2.00 | 5.0 | 700 | 101.955
0.99 | 2.00 | 1.0 | 700 | 101.955
0.99 | 2.00 | 0.1 | 700 | 101.962
0.99 | 2.00 | 0.01 | 700 | 101.961
0.99 | 2.00 | 5.0 | 800 | 101.955
0.99 | 2.00 | 1.0 | 800 | 101.955
0.99 | 2.00 | 0.1 | 800 | 101.962
0.99 | 2.00 | 0.01 | 800 | 101.961
