down | strategy | tol | ncall | sigma_tot
0.99 | 0.00 | 5.0 | 300 | 103.796
0.99 | 0.00 | 0.1 | 300 | 103.661
0.99 | 0.00 | 0.01 | 300 | 103.663
0.99 | 0.00 | 5.0 | 400 | 103.796
0.99 | 0.00 | 0.1 | 400 | 103.661
0.99 | 0.00 | 0.01 | 400 | 103.663
0.99 | 0.00 | 5.0 | 500 | 103.796
0.99 | 0.00 | 0.1 | 500 | 103.661
0.99 | 0.00 | 0.01 | 500 | 103.663
0.99 | 0.00 | 5.0 | 600 | 103.796
0.99 | 0.00 | 0.1 | 600 | 103.661
0.99 | 0.00 | 0.01 | 600 | 103.663
0.99 | 0.00 | 5.0 | 700 | 103.796
0.99 | 0.00 | 0.1 | 700 | 103.661
0.99 | 0.00 | 0.01 | 700 | 103.663
0.99 | 0.00 | 5.0 | 800 | 103.796
0.99 | 0.00 | 0.1 | 800 | 103.661
0.99 | 0.00 | 0.01 | 800 | 103.663
0.99 | 2.00 | 5.0 | 800 | 103.647
0.99 | 2.00 | 1.0 | 800 | 103.596
0.99 | 2.00 | 0.1 | 800 | 103.596
