down | strategy | tol | ncall | sigma_tot
0.95 | 0.00 | 1.0 | 300 | 103.668
0.95 | 0.00 | 0.1 | 300 | 103.667
0.95 | 0.00 | 0.01 | 300 | 103.667
0.95 | 0.00 | 1.0 | 400 | 103.668
0.95 | 0.00 | 0.1 | 400 | 103.667
0.95 | 0.00 | 0.01 | 400 | 103.667
0.95 | 0.00 | 1.0 | 500 | 103.668
0.95 | 0.00 | 0.1 | 500 | 103.667
0.95 | 0.00 | 0.01 | 500 | 103.667
0.95 | 0.00 | 1.0 | 600 | 103.668
0.95 | 0.00 | 0.1 | 600 | 103.667
0.95 | 0.00 | 0.01 | 600 | 103.667
0.95 | 0.00 | 1.0 | 700 | 103.668
0.95 | 0.00 | 0.1 | 700 | 103.667
0.95 | 0.00 | 0.01 | 700 | 103.667
0.95 | 0.00 | 1.0 | 800 | 103.668
0.95 | 0.00 | 0.1 | 800 | 103.667
0.95 | 0.00 | 0.01 | 800 | 103.667
0.95 | 2.00 | 5.0 | 300 | 103.848
0.95 | 2.00 | 5.0 | 400 | 103.673
0.95 | 2.00 | 1.0 | 400 | 103.666
0.95 | 2.00 | 0.1 | 400 | 103.673
0.95 | 2.00 | 0.01 | 400 | 103.667
0.95 | 2.00 | 5.0 | 500 | 103.662
0.95 | 2.00 | 1.0 | 500 | 103.661
0.95 | 2.00 | 0.1 | 500 | 103.667
0.95 | 2.00 | 0.01 | 500 | 103.667
0.95 | 2.00 | 5.0 | 600 | 103.662
0.95 | 2.00 | 1.0 | 600 | 103.661
0.95 | 2.00 | 0.1 | 600 | 103.667
0.95 | 2.00 | 0.01 | 600 | 103.667
0.95 | 2.00 | 5.0 | 700 | 103.662
0.95 | 2.00 | 1.0 | 700 | 103.661
0.95 | 2.00 | 0.1 | 700 | 103.667
0.95 | 2.00 | 0.01 | 700 | 103.667
0.95 | 2.00 | 5.0 | 800 | 103.662
0.95 | 2.00 | 1.0 | 800 | 103.661
0.95 | 2.00 | 0.1 | 800 | 103.667
0.95 | 2.00 | 0.01 | 800 | 103.667
