down | strategy | tol | ncall | sigma_tot
0.95 | 2.00 | 5.0 | 400 | 103.419
0.96 | 0.00 | 0.1 | 700 | 103.528
0.96 | 0.00 | 0.1 | 800 | 103.522
0.96 | 0.00 | 0.01 | 800 | 103.518
0.96 | 2.00 | 5.0 | 400 | 103.510
0.96 | 2.00 | 5.0 | 500 | 103.437
0.96 | 2.00 | 5.0 | 600 | 103.510
0.96 | 2.00 | 1.0 | 600 | 103.504
0.96 | 2.00 | 5.0 | 700 | 103.510
0.96 | 2.00 | 1.0 | 700 | 103.521
0.96 | 2.00 | 0.1 | 700 | 103.517
0.96 | 2.00 | 0.01 | 700 | 103.517
0.96 | 2.00 | 5.0 | 800 | 103.510
0.96 | 2.00 | 1.0 | 800 | 103.521
0.96 | 2.00 | 0.1 | 800 | 103.517
0.96 | 2.00 | 0.01 | 800 | 103.520
0.97 | 0.00 | 1.0 | 500 | 103.537
0.97 | 0.00 | 0.1 | 500 | 103.539
0.97 | 0.00 | 1.0 | 600 | 103.537
0.97 | 0.00 | 0.1 | 600 | 103.539
0.97 | 0.00 | 1.0 | 700 | 103.537
0.97 | 0.00 | 0.1 | 700 | 103.539
0.97 | 0.00 | 1.0 | 800 | 103.537
0.97 | 0.00 | 0.1 | 800 | 103.539
0.97 | 2.00 | 5.0 | 400 | 103.448
0.97 | 2.00 | 5.0 | 500 | 103.560
0.97 | 2.00 | 1.0 | 500 | 103.506
0.97 | 2.00 | 5.0 | 600 | 103.543
0.97 | 2.00 | 1.0 | 600 | 103.523
0.97 | 2.00 | 0.1 | 600 | 103.544
0.97 | 2.00 | 5.0 | 700 | 103.543
0.97 | 2.00 | 1.0 | 700 | 103.523
0.97 | 2.00 | 0.1 | 700 | 103.541
0.97 | 2.00 | 0.01 | 700 | 103.542
0.97 | 2.00 | 5.0 | 800 | 103.543
0.97 | 2.00 | 1.0 | 800 | 103.523
0.97 | 2.00 | 0.1 | 800 | 103.541
0.97 | 2.00 | 0.01 | 800 | 103.542
0.98 | 0.00 | 1.0 | 500 | 103.611
0.98 | 0.00 | 1.0 | 600 | 103.611
0.98 | 0.00 | 0.01 | 600 | 103.566
0.98 | 0.00 | 1.0 | 700 | 103.611
0.98 | 0.00 | 0.01 | 700 | 103.566
0.98 | 0.00 | 1.0 | 800 | 103.611
0.98 | 0.00 | 0.01 | 800 | 103.566
0.98 | 2.00 | 5.0 | 300 | 103.520
0.98 | 2.00 | 5.0 | 400 | 103.720
0.98 | 2.00 | 5.0 | 500 | 103.575
0.98 | 2.00 | 1.0 | 500 | 103.560
0.98 | 2.00 | 5.0 | 600 | 103.575
0.98 | 2.00 | 1.0 | 600 | 103.566
0.98 | 2.00 | 0.1 | 600 | 103.561
0.98 | 2.00 | 0.01 | 600 | 103.564
0.98 | 2.00 | 5.0 | 700 | 103.575
0.98 | 2.00 | 1.0 | 700 | 103.566
0.98 | 2.00 | 0.1 | 700 | 103.561
0.98 | 2.00 | 0.01 | 700 | 103.564
0.98 | 2.00 | 5.0 | 800 | 103.575
0.98 | 2.00 | 1.0 | 800 | 103.566
0.98 | 2.00 | 0.1 | 800 | 103.561
0.98 | 2.00 | 0.01 | 800 | 103.564
0.99 | 0.00 | 0.1 | 600 | 103.592
0.99 | 0.00 | 0.01 | 600 | 103.590
0.99 | 0.00 | 0.1 | 700 | 103.592
0.99 | 0.00 | 0.01 | 700 | 103.590
0.99 | 0.00 | 0.1 | 800 | 103.592
0.99 | 0.00 | 0.01 | 800 | 103.590
0.99 | 2.00 | 5.0 | 400 | 103.590
0.99 | 2.00 | 1.0 | 400 | 103.587
0.99 | 2.00 | 0.1 | 400 | 103.587
0.99 | 2.00 | 5.0 | 500 | 103.567
0.99 | 2.00 | 1.0 | 500 | 103.587
0.99 | 2.00 | 0.1 | 500 | 103.586
0.99 | 2.00 | 0.01 | 500 | 103.592
0.99 | 2.00 | 5.0 | 600 | 103.567
0.99 | 2.00 | 1.0 | 600 | 103.587
0.99 | 2.00 | 0.1 | 600 | 103.586
0.99 | 2.00 | 0.01 | 600 | 103.592
0.99 | 2.00 | 5.0 | 700 | 103.567
0.99 | 2.00 | 1.0 | 700 | 103.587
0.99 | 2.00 | 0.1 | 700 | 103.586
0.99 | 2.00 | 0.01 | 700 | 103.592
0.99 | 2.00 | 5.0 | 800 | 103.567
0.99 | 2.00 | 1.0 | 800 | 103.587
0.99 | 2.00 | 0.1 | 800 | 103.586
0.99 | 2.00 | 0.01 | 800 | 103.592
