down | strategy | tol | ncall | sigma_tot
0.96 | 2.00 | 5.0 | 300 | 110.339
0.96 | 2.00 | 5.0 | 400 | 110.339
0.96 | 2.00 | 5.0 | 500 | 110.339
0.96 | 2.00 | 5.0 | 600 | 110.339
0.96 | 2.00 | 5.0 | 700 | 110.339
0.96 | 2.00 | 5.0 | 800 | 110.339
0.97 | 2.00 | 5.0 | 300 | 110.375
0.97 | 2.00 | 1.0 | 300 | 110.375
0.97 | 2.00 | 5.0 | 400 | 110.375
0.97 | 2.00 | 1.0 | 400 | 110.375
0.97 | 2.00 | 5.0 | 500 | 110.375
0.97 | 2.00 | 1.0 | 500 | 110.375
0.97 | 2.00 | 5.0 | 600 | 110.375
0.97 | 2.00 | 1.0 | 600 | 110.375
0.97 | 2.00 | 5.0 | 700 | 110.375
0.97 | 2.00 | 1.0 | 700 | 110.375
0.97 | 2.00 | 5.0 | 800 | 110.375
0.97 | 2.00 | 1.0 | 800 | 110.375
0.98 | 2.00 | 5.0 | 300 | 110.414
0.98 | 2.00 | 1.0 | 300 | 110.414
0.98 | 2.00 | 5.0 | 400 | 110.414
0.98 | 2.00 | 1.0 | 400 | 110.414
0.98 | 2.00 | 5.0 | 500 | 110.414
0.98 | 2.00 | 1.0 | 500 | 110.414
0.98 | 2.00 | 5.0 | 600 | 110.414
0.98 | 2.00 | 1.0 | 600 | 110.414
0.98 | 2.00 | 5.0 | 700 | 110.414
0.98 | 2.00 | 1.0 | 700 | 110.414
0.98 | 2.00 | 5.0 | 800 | 110.414
0.98 | 2.00 | 1.0 | 800 | 110.414
0.99 | 2.00 | 5.0 | 300 | 110.455
0.99 | 2.00 | 1.0 | 300 | 110.450
0.99 | 2.00 | 5.0 | 400 | 110.455
0.99 | 2.00 | 1.0 | 400 | 110.450
0.99 | 2.00 | 5.0 | 500 | 110.455
0.99 | 2.00 | 1.0 | 500 | 110.450
0.99 | 2.00 | 5.0 | 600 | 110.455
0.99 | 2.00 | 1.0 | 600 | 110.450
0.99 | 2.00 | 5.0 | 700 | 110.455
0.99 | 2.00 | 1.0 | 700 | 110.450
0.99 | 2.00 | 5.0 | 800 | 110.455
0.99 | 2.00 | 1.0 | 800 | 110.450
