Otimização LOG TOTEM - Config: mg_0_eps_0_a1_0_a2_0
ncall | strategy | tol | mg ± err | eps ± err | a1 ± err | a2 ± err | χ²/ndof
========================================================================================================================
300 | 0 | 10 | 0.377190 ± 0.000773 | 0.086254 ± 0.000352 | 1.689226 ± 0.017560 | 3.041453 ± 0.084259 | 0.338322
300 | 0 | 5 | 0.377147 ± 0.000777 | 0.086257 ± 0.000355 | 1.691213 ± 0.019128 | 3.036195 ± 0.091332 | 0.337746
300 | 0 | 3 | 0.377147 ± 0.000777 | 0.086257 ± 0.000355 | 1.691213 ± 0.019128 | 3.036195 ± 0.091332 | 0.337746
300 | 0 | 1 | 0.377147 ± 0.000777 | 0.086257 ± 0.000355 | 1.691213 ± 0.019128 | 3.036195 ± 0.091332 | 0.337746
400 | 0 | 10 | 0.377522 ± 0.000784 | 0.086246 ± 0.000359 | 1.673976 ± 0.022763 | 3.113398 ± 0.105585 | 0.344910
400 | 0 | 5 | 0.377116 ± 0.000779 | 0.086265 ± 0.000356 | 1.693275 ± 0.019524 | 3.026903 ± 0.093463 | 0.337505
400 | 0 | 3 | 0.377116 ± 0.000779 | 0.086265 ± 0.000356 | 1.693275 ± 0.019524 | 3.026903 ± 0.093463 | 0.337505
400 | 0 | 1 | 0.376985 ± 0.000802 | 0.086248 ± 0.000372 | 1.697285 ± 0.073703 | 3.009487 ± 0.132213 | 0.336976
500 | 0 | 1 | 0.376566 ± 0.000770 | 0.086085 ± 0.000345 | 1.699646 ± 0.012068 | 2.995631 ± 0.036938 | 0.335235
600 | 0 | 10 | 0.377321 ± 0.000786 | 0.086304 ± 0.000360 | 1.688329 ± 0.022370 | 3.049174 ± 0.104957 | 0.339110
800 | 0 | 10 | 0.377321 ± 0.000786 | 0.086304 ± 0.000360 | 1.688329 ± 0.022370 | 3.049174 ± 0.104957 | 0.339110
300 | 1 | 5 | 0.377170 ± 0.000772 | 0.086273 ± 0.000351 | 1.691762 ± 0.017029 | 3.032014 ± 0.082384 | 0.337916
300 | 1 | 3 | 0.377122 ± 0.000771 | 0.086275 ± 0.000350 | 1.693999 ± 0.016285 | 3.023253 ± 0.079654 | 0.337605
300 | 1 | 1 | 0.377122 ± 0.000771 | 0.086275 ± 0.000350 | 1.693999 ± 0.016285 | 3.023253 ± 0.079654 | 0.337605
400 | 1 | 1 | 0.376927 ± 0.000768 | 0.086235 ± 0.000348 | 1.698514 ± 0.035100 | 3.003524 ± 0.072158 | 0.336815
500 | 1 | 10 | 0.369914 ± 0.000789 | 0.082952 ± 0.000375 | 1.688498 ± 0.027829 | 3.042723 ± 0.130222 | 0.308590
500 | 1 | 1 | 0.376772 ± 0.000899 | 0.086182 ± 0.000402 | 1.700000 ± 0.013516 | 2.995194 ± 0.032062 | 0.336357
600 | 1 | 10 | 0.363299 ± 0.008075 | 0.079348 ± 0.004357 | 1.638164 ± 0.077843 | 3.263985 ± 0.341817 | 0.288967
600 | 1 | 5 | 0.362705 ± 0.009683 | 0.079039 ± 0.004917 | 1.635213 ± 0.058173 | 3.276529 ± 0.256089 | 0.288773
600 | 1 | 1 | 0.376030 ± 0.000771 | 0.085706 ± 0.000353 | 1.686300 ± 0.018495 | 3.056125 ± 0.088201 | 0.330845
800 | 1 | 10 | 0.363506 ± 0.008869 | 0.079446 ± 0.004471 | 1.638172 ± 0.052918 | 3.262297 ± 0.233636 | 0.288995
800 | 1 | 5 | 0.362759 ± 0.010165 | 0.079080 ± 0.005075 | 1.636637 ± 0.051757 | 3.269560 ± 0.228316 | 0.288822
800 | 1 | 3 | 0.363169 ± 0.009176 | 0.079285 ± 0.004649 | 1.637878 ± 0.055813 | 3.264465 ± 0.246387 | 0.288849
800 | 1 | 1 | 0.362950 ± 0.008930 | 0.079169 ± 0.004531 | 1.636615 ± 0.054942 | 3.269825 ± 0.242458 | 0.288806
300 | 2 | 10 | 0.375682 ± 0.000550 | 0.085634 ± 0.000253 | 1.694646 ± 0.041546 | 3.020639 ± 0.137406 | 0.329394
300 | 2 | 5 | 0.375682 ± 0.000550 | 0.085634 ± 0.000253 | 1.694646 ± 0.041546 | 3.020639 ± 0.137406 | 0.329394
300 | 2 | 3 | 0.375682 ± 0.000550 | 0.085634 ± 0.000253 | 1.694646 ± 0.041546 | 3.020639 ± 0.137406 | 0.329394
300 | 2 | 1 | 0.375682 ± 0.000550 | 0.085634 ± 0.000253 | 1.694646 ± 0.041546 | 3.020639 ± 0.137406 | 0.329394
400 | 2 | 10 | 0.369773 ± 0.000749 | 0.082955 ± 0.000346 | 1.694620 ± 0.009996 | 3.010888 ± 0.055059 | 0.313851
400 | 2 | 5 | 0.369773 ± 0.000749 | 0.082955 ± 0.000346 | 1.694620 ± 0.009996 | 3.010888 ± 0.055059 | 0.313851
500 | 2 | 10 | 0.360860 ± 0.010023 | 0.078210 ± 0.005033 | 1.639420 ± 0.050143 | 3.255797 ± 0.222049 | 0.291437
600 | 2 | 10 | 0.362655 ± 0.008404 | 0.079012 ± 0.004315 | 1.634888 ± 0.057790 | 3.277764 ± 0.254766 | 0.288783
600 | 2 | 5 | 0.362655 ± 0.008404 | 0.079012 ± 0.004315 | 1.634888 ± 0.057790 | 3.277764 ± 0.254766 | 0.288783
600 | 2 | 3 | 0.362338 ± 0.008618 | 0.078848 ± 0.004439 | 1.633556 ± 0.059675 | 3.283533 ± 0.262560 | 0.288820
600 | 2 | 1 | 0.362367 ± 0.008856 | 0.078854 ± 0.004587 | 1.632878 ± 0.063185 | 3.286961 ± 0.277391 | 0.288820
600 | 2 | 0.1 | 0.362664 ± 0.009437 | 0.079018 ± 0.004820 | 1.635012 ± 0.059749 | 3.277534 ± 0.262954 | 0.288773
800 | 2 | 10 | 0.368547 ± 0.000764 | 0.082034 ± 0.000361 | 1.660980 ± 0.022427 | 3.163552 ± 0.104308 | 0.297371
800 | 2 | 5 | 0.362408 ± 0.009494 | 0.078887 ± 0.004807 | 1.634145 ± 0.055528 | 3.280664 ± 0.244536 | 0.288802
800 | 2 | 3 | 0.362696 ± 0.008749 | 0.079031 ± 0.004497 | 1.634854 ± 0.060013 | 3.278257 ± 0.264309 | 0.288780
800 | 2 | 1 | 0.362581 ± 0.010147 | 0.078962 ± 0.005238 | 1.633461 ± 0.068690 | 3.285120 ± 0.300782 | 0.288808
800 | 2 | 0.1 | 0.362677 ± 0.009460 | 0.079023 ± 0.004801 | 1.634888 ± 0.057114 | 3.278169 ± 0.251662 | 0.288773
800 | 2 | 0.01 | 0.362674 ± 0.009004 | 0.079022 ± 0.004580 | 1.634942 ± 0.056147 | 3.277831 ± 0.247608 | 0.288772
