Otimização LOG TOTEM - Config: mg_0_eps_0_a1_0_a2_1
ncall | strategy | tol | mg ± err | eps ± err | a1 ± err | a2 ± err | χ²/ndof
========================================================================================================================
200 | 0 | 10 | 0.377432 ± 0.000900 | 0.086475 ± 0.000402 | 1.700000 ± 0.024105 | 2.994527 ± 0.032069 | 0.340141
300 | 0 | 10 | 0.377432 ± 0.000900 | 0.086475 ± 0.000402 | 1.700000 ± 0.021706 | 2.994301 ± 0.032070 | 0.340172
400 | 0 | 10 | 0.377432 ± 0.000900 | 0.086475 ± 0.000402 | 1.700000 ± 0.021706 | 2.994301 ± 0.032070 | 0.340172
500 | 0 | 10 | 0.377432 ± 0.000900 | 0.086475 ± 0.000402 | 1.700000 ± 0.021706 | 2.994301 ± 0.032070 | 0.340172
600 | 0 | 10 | 0.377432 ± 0.000900 | 0.086475 ± 0.000402 | 1.700000 ± 0.021706 | 2.994301 ± 0.032070 | 0.340172
800 | 0 | 10 | 0.377432 ± 0.000900 | 0.086475 ± 0.000402 | 1.700000 ± 0.021706 | 2.994301 ± 0.032070 | 0.340172
200 | 1 | 10 | 0.377425 ± 0.000900 | 0.086472 ± 0.000402 | 1.700000 ± 0.026097 | 2.994676 ± 0.032067 | 0.340081
300 | 1 | 10 | 0.370357 ± 0.006267 | 0.083277 ± 0.002846 | 1.700000 ± 0.389568 | 2.992195 ± 0.033813 | 0.316883
500 | 1 | 10 | 0.363935 ± 0.008446 | 0.079679 ± 0.004310 | 1.641181 ± 0.057272 | 3.249601 ± 0.260086 | 0.289214
500 | 1 | 5 | 0.363394 ± 0.011772 | 0.079376 ± 0.005849 | 1.636370 ± 0.057955 | 3.271660 ± 0.262084 | 0.288947
500 | 1 | 3 | 0.363394 ± 0.011772 | 0.079376 ± 0.005849 | 1.636370 ± 0.057955 | 3.271660 ± 0.262084 | 0.288947
600 | 1 | 10 | 0.363935 ± 0.008406 | 0.079679 ± 0.004290 | 1.641181 ± 0.057307 | 3.249601 ± 0.260273 | 0.289214
600 | 1 | 5 | 0.363394 ± 0.011772 | 0.079376 ± 0.005849 | 1.636370 ± 0.057955 | 3.271660 ± 0.262084 | 0.288947
600 | 1 | 3 | 0.363394 ± 0.011772 | 0.079376 ± 0.005849 | 1.636370 ± 0.057955 | 3.271660 ± 0.262084 | 0.288947
800 | 1 | 10 | 0.363768 ± 0.007641 | 0.079535 ± 0.004032 | 1.634850 ± 0.067478 | 3.279843 ± 0.307841 | 0.289438
800 | 1 | 5 | 0.363700 ± 0.007705 | 0.079543 ± 0.003958 | 1.638829 ± 0.056856 | 3.259178 ± 0.258137 | 0.289138
800 | 1 | 3 | 0.363208 ± 0.009692 | 0.079283 ± 0.004938 | 1.635798 ± 0.060766 | 3.275280 ± 0.275838 | 0.288892
800 | 1 | 0.1 | 0.362694 ± 0.009658 | 0.079031 ± 0.004904 | 1.634926 ± 0.058206 | 3.277898 ± 0.263939 | 0.288772
300 | 2 | 10 | 0.382183 ± 0.001226 | 0.088573 ± 0.000537 | 1.700000 ± 0.388150 | 2.998187 ± 0.032833 | 0.378280
500 | 2 | 10 | 0.367069 ± 0.005997 | 0.081139 ± 0.003138 | 1.641053 ± 0.062604 | 3.251914 ± 0.284837 | 0.295318
500 | 2 | 5 | 0.372238 ± 0.000891 | 0.084137 ± 0.000405 | 1.700000 ± 0.016471 | 2.993374 ± 0.032229 | 0.319324
500 | 2 | 3 | 0.372238 ± 0.000891 | 0.084137 ± 0.000405 | 1.700000 ± 0.016471 | 2.993374 ± 0.032229 | 0.319324
500 | 2 | 1 | 0.372238 ± 0.000891 | 0.084137 ± 0.000405 | 1.700000 ± 0.016471 | 2.993374 ± 0.032229 | 0.319324
600 | 2 | 5 | 0.370576 ± 0.000751 | 0.083354 ± 0.000346 | 1.697770 ± 0.011454 | 2.998041 ± 0.055625 | 0.315809
800 | 2 | 10 | 0.369748 ± 0.000767 | 0.082685 ± 0.000361 | 1.670386 ± 0.022195 | 3.121443 ± 0.104065 | 0.301652
