Otimização LOG TOTEM - Config: mg_0_eps_1_a1_0_a2_0
ncall | strategy | tol | mg ± err | eps ± err | a1 ± err | a2 ± err | χ²/ndof
========================================================================================================================
500 | 1 | 10 | 0.363634 ± 0.008126 | 0.079532 ± 0.004059 | 1.640473 ± 0.040250 | 3.251519 ± 0.179009 | 0.289182
500 | 1 | 5 | 0.363634 ± 0.008126 | 0.079532 ± 0.004059 | 1.640473 ± 0.040250 | 3.251519 ± 0.179009 | 0.289182
600 | 1 | 10 | 0.363405 ± 0.010726 | 0.079422 ± 0.005596 | 1.640446 ± 0.065412 | 3.252632 ± 0.287855 | 0.289024
600 | 1 | 5 | 0.363066 ± 0.008754 | 0.079239 ± 0.004440 | 1.638058 ± 0.046936 | 3.262752 ± 0.207840 | 0.288889
600 | 1 | 3 | 0.363066 ± 0.008754 | 0.079239 ± 0.004440 | 1.638058 ± 0.046936 | 3.262752 ± 0.207840 | 0.288889
800 | 1 | 10 | 0.363822 ± 0.008774 | 0.079637 ± 0.004431 | 1.642156 ± 0.046200 | 3.244130 ± 0.204796 | 0.289277
800 | 1 | 5 | 0.363154 ± 0.007919 | 0.079286 ± 0.003950 | 1.638541 ± 0.038714 | 3.260218 ± 0.172396 | 0.289035
800 | 1 | 3 | 0.363222 ± 0.009538 | 0.079324 ± 0.004899 | 1.639238 ± 0.054441 | 3.257594 ± 0.240297 | 0.288941
300 | 2 | 10 | 0.365835 ± 0.007857 | 0.080628 ± 0.003858 | 1.646828 ± 0.036114 | 3.222995 ± 0.161058 | 0.291561
300 | 2 | 5 | 0.365835 ± 0.007857 | 0.080628 ± 0.003858 | 1.646828 ± 0.036114 | 3.222995 ± 0.161058 | 0.291561
400 | 2 | 10 | 0.363754 ± 0.009671 | 0.079591 ± 0.004981 | 1.640790 ± 0.056955 | 3.251994 ± 0.251627 | 0.289091
400 | 2 | 5 | 0.363071 ± 0.008735 | 0.079249 ± 0.004454 | 1.638684 ± 0.049331 | 3.261863 ± 0.218812 | 0.288909
400 | 2 | 3 | 0.363071 ± 0.008735 | 0.079249 ± 0.004454 | 1.638684 ± 0.049331 | 3.261863 ± 0.218812 | 0.288909
400 | 2 | 1 | 0.362769 ± 0.009524 | 0.079076 ± 0.004921 | 1.635887 ± 0.056567 | 3.273807 ± 0.249436 | 0.288780
400 | 2 | 0.1 | 0.362687 ± 0.009621 | 0.079028 ± 0.004976 | 1.634957 ± 0.057157 | 3.277749 ± 0.251738 | 0.288772
500 | 2 | 10 | 0.369932 ± 0.006763 | 0.083076 ± 0.003112 | 1.699154 ± 0.015884 | 2.994699 ± 0.045963 | 0.316317
500 | 2 | 5 | 0.369709 ± 0.006391 | 0.082914 ± 0.002964 | 1.693358 ± 0.013827 | 3.020616 ± 0.069505 | 0.312224
500 | 2 | 1 | 0.363425 ± 0.008044 | 0.079439 ± 0.004031 | 1.640863 ± 0.041234 | 3.251408 ± 0.183748 | 0.289124
500 | 2 | 0.01 | 0.362684 ± 0.009668 | 0.079026 ± 0.005006 | 1.634965 ± 0.057716 | 3.277698 ± 0.254128 | 0.288772
600 | 2 | 10 | 0.367266 ± 0.006515 | 0.081520 ± 0.003097 | 1.668143 ± 0.023182 | 3.128488 ± 0.106926 | 0.297695
600 | 2 | 0.01 | 0.362703 ± 0.010128 | 0.079036 ± 0.005246 | 1.635048 ± 0.059261 | 3.277347 ± 0.260657 | 0.288772
800 | 2 | 10 | 0.363019 ± 0.008046 | 0.079234 ± 0.004032 | 1.639627 ± 0.040625 | 3.255768 ± 0.180844 | 0.289064
800 | 2 | 5 | 0.363141 ± 0.009920 | 0.079278 ± 0.005138 | 1.638398 ± 0.059263 | 3.262236 ± 0.261213 | 0.288861
800 | 2 | 3 | 0.363097 ± 0.008739 | 0.079270 ± 0.004444 | 1.639605 ± 0.048106 | 3.256799 ± 0.213343 | 0.288947
800 | 2 | 1 | 0.362874 ± 0.009185 | 0.079124 ± 0.004706 | 1.635723 ± 0.052035 | 3.273800 ± 0.229693 | 0.288792
800 | 2 | 0.01 | 0.362705 ± 0.010119 | 0.079038 ± 0.005247 | 1.635140 ± 0.059673 | 3.276943 ± 0.262451 | 0.288773
