Otimização LOG TOTEM - Config: mg_0_eps_0_a1_1_a2_1
ncall | strategy | tol | mg ± err | eps ± err | a1 ± err | a2 ± err | χ²/ndof
========================================================================================================================
800 | 0 | 0.1 | 0.362666 ± 0.009435 | 0.079015 ± 0.004797 | 1.634697 ± 0.058817 | 3.278885 ± 0.261278 | 0.288773
800 | 0 | 0.01 | 0.362672 ± 0.009555 | 0.079021 ± 0.004857 | 1.634928 ± 0.059265 | 3.277887 ± 0.263221 | 0.288772
300 | 1 | 10 | 0.358678 ± 0.000743 | 0.077000 ± 0.000366 | 1.622248 ± 0.024931 | 3.343950 ± 0.115367 | 0.296517
400 | 1 | 10 | 0.359983 ± 0.007492 | 0.077621 ± 0.003860 | 1.623131 ± 0.052056 | 3.331078 ± 0.232446 | 0.290820
400 | 1 | 5 | 0.359983 ± 0.007492 | 0.077621 ± 0.003860 | 1.623131 ± 0.052056 | 3.331078 ± 0.232446 | 0.290820
400 | 1 | 3 | 0.359983 ± 0.007492 | 0.077621 ± 0.003860 | 1.623131 ± 0.052056 | 3.331078 ± 0.232446 | 0.290820
500 | 1 | 10 | 0.362103 ± 0.008421 | 0.078714 ± 0.004299 | 1.631496 ± 0.055342 | 3.291041 ± 0.246373 | 0.288969
500 | 1 | 5 | 0.362103 ± 0.008421 | 0.078714 ± 0.004299 | 1.631496 ± 0.055342 | 3.291041 ± 0.246373 | 0.288969
500 | 1 | 3 | 0.362350 ± 0.008489 | 0.078854 ± 0.004330 | 1.633558 ± 0.055533 | 3.284241 ± 0.247142 | 0.288813
500 | 1 | 1 | 0.362567 ± 0.008958 | 0.078966 ± 0.004561 | 1.634492 ± 0.057152 | 3.280154 ± 0.254097 | 0.288782
600 | 1 | 10 | 0.362103 ± 0.008242 | 0.078714 ± 0.004207 | 1.631496 ± 0.054652 | 3.291041 ± 0.243385 | 0.288969
600 | 1 | 5 | 0.362103 ± 0.008242 | 0.078714 ± 0.004207 | 1.631496 ± 0.054652 | 3.291041 ± 0.243385 | 0.288969
600 | 1 | 3 | 0.362350 ± 0.008489 | 0.078854 ± 0.004330 | 1.633558 ± 0.055533 | 3.284241 ± 0.247142 | 0.288813
600 | 1 | 1 | 0.362567 ± 0.008958 | 0.078966 ± 0.004561 | 1.634492 ± 0.057152 | 3.280154 ± 0.254097 | 0.288782
800 | 1 | 10 | 0.362103 ± 0.008242 | 0.078714 ± 0.004207 | 1.631496 ± 0.054652 | 3.291041 ± 0.243385 | 0.288969
800 | 1 | 5 | 0.362103 ± 0.008242 | 0.078714 ± 0.004207 | 1.631496 ± 0.054652 | 3.291041 ± 0.243385 | 0.288969
800 | 1 | 3 | 0.362350 ± 0.008178 | 0.078854 ± 0.004169 | 1.633558 ± 0.054330 | 3.284241 ± 0.241948 | 0.288813
800 | 1 | 1 | 0.362567 ± 0.009004 | 0.078966 ± 0.004579 | 1.634492 ± 0.056971 | 3.280154 ± 0.253292 | 0.288782
800 | 1 | 0.1 | 0.362666 ± 0.009466 | 0.079015 ± 0.004807 | 1.634700 ± 0.058532 | 3.278870 ± 0.260031 | 0.288773
800 | 1 | 0.01 | 0.362672 ± 0.009421 | 0.079021 ± 0.004785 | 1.634928 ± 0.058418 | 3.277890 ± 0.259545 | 0.288772
300 | 2 | 10 | 0.343420 ± 0.000698 | 0.068787 ± 0.000367 | 1.558571 ± 0.024421 | 3.617201 ± 0.113074 | 0.396212
300 | 2 | 5 | 0.343420 ± 0.000698 | 0.068787 ± 0.000367 | 1.558571 ± 0.024421 | 3.617201 ± 0.113074 | 0.396212
300 | 2 | 3 | 0.343420 ± 0.000698 | 0.068787 ± 0.000367 | 1.558571 ± 0.024421 | 3.617201 ± 0.113074 | 0.396212
500 | 2 | 10 | 0.360006 ± 0.006321 | 0.077687 ± 0.003255 | 1.628770 ± 0.048309 | 3.302152 ± 0.216237 | 0.291491
600 | 2 | 10 | 0.362161 ± 0.007033 | 0.078769 ± 0.003593 | 1.634102 ± 0.050733 | 3.281243 ± 0.226418 | 0.288957
600 | 2 | 5 | 0.360512 ± 0.007144 | 0.077869 ± 0.003673 | 1.622857 ± 0.050913 | 3.330694 ± 0.227320 | 0.290263
600 | 2 | 3 | 0.360512 ± 0.007144 | 0.077869 ± 0.003673 | 1.622857 ± 0.050913 | 3.330694 ± 0.227320 | 0.290263
800 | 2 | 10 | 0.362161 ± 0.006942 | 0.078769 ± 0.003542 | 1.634102 ± 0.050257 | 3.281243 ± 0.224361 | 0.288957
800 | 2 | 5 | 0.361944 ± 0.009894 | 0.078642 ± 0.005033 | 1.631612 ± 0.060032 | 3.292865 ± 0.266712 | 0.288918
800 | 2 | 3 | 0.362278 ± 0.008092 | 0.078813 ± 0.004125 | 1.632919 ± 0.053877 | 3.287288 ± 0.239958 | 0.288848
800 | 2 | 1 | 0.362521 ± 0.010252 | 0.078938 ± 0.005199 | 1.633890 ± 0.061277 | 3.281997 ± 0.271932 | 0.288785
800 | 2 | 0.1 | 0.362639 ± 0.009604 | 0.079003 ± 0.004878 | 1.634766 ± 0.059101 | 3.278494 ± 0.262502 | 0.288773
800 | 2 | 0.01 | 0.362682 ± 0.009861 | 0.079025 ± 0.005004 | 1.634945 ± 0.059981 | 3.277808 ± 0.266293 | 0.288772
