down | strategy | tol | ncall | sigma_tot
0.98 | 0.00 | 5.0 | 300 | 104.195
0.98 | 0.00 | 1.0 | 300 | 104.200
0.98 | 0.00 | 0.1 | 300 | 104.202
0.98 | 0.00 | 0.01 | 300 | 104.203
0.98 | 0.00 | 5.0 | 400 | 104.195
0.98 | 0.00 | 1.0 | 400 | 104.200
0.98 | 0.00 | 0.1 | 400 | 104.202
0.98 | 0.00 | 0.01 | 400 | 104.203
0.98 | 0.00 | 5.0 | 500 | 104.195
0.98 | 0.00 | 1.0 | 500 | 104.200
0.98 | 0.00 | 0.1 | 500 | 104.202
0.98 | 0.00 | 0.01 | 500 | 104.203
0.98 | 0.00 | 5.0 | 600 | 104.195
0.98 | 0.00 | 1.0 | 600 | 104.200
0.98 | 0.00 | 0.1 | 600 | 104.202
0.98 | 0.00 | 0.01 | 600 | 104.203
0.98 | 0.00 | 5.0 | 700 | 104.195
0.98 | 0.00 | 1.0 | 700 | 104.200
0.98 | 0.00 | 0.1 | 700 | 104.202
0.98 | 0.00 | 0.01 | 700 | 104.203
0.98 | 0.00 | 5.0 | 800 | 104.195
0.98 | 0.00 | 1.0 | 800 | 104.200
0.98 | 0.00 | 0.1 | 800 | 104.202
0.98 | 0.00 | 0.01 | 800 | 104.203
0.99 | 0.00 | 5.0 | 300 | 104.245
0.99 | 0.00 | 1.0 | 300 | 104.243
0.99 | 0.00 | 0.1 | 300 | 104.241
0.99 | 0.00 | 0.01 | 300 | 104.242
0.99 | 0.00 | 5.0 | 400 | 104.245
0.99 | 0.00 | 1.0 | 400 | 104.243
0.99 | 0.00 | 0.1 | 400 | 104.241
0.99 | 0.00 | 0.01 | 400 | 104.242
0.99 | 0.00 | 5.0 | 500 | 104.245
0.99 | 0.00 | 1.0 | 500 | 104.243
0.99 | 0.00 | 0.1 | 500 | 104.241
0.99 | 0.00 | 0.01 | 500 | 104.242
0.99 | 0.00 | 5.0 | 600 | 104.245
0.99 | 0.00 | 1.0 | 600 | 104.243
0.99 | 0.00 | 0.1 | 600 | 104.241
0.99 | 0.00 | 0.01 | 600 | 104.242
0.99 | 0.00 | 5.0 | 700 | 104.245
0.99 | 0.00 | 1.0 | 700 | 104.243
0.99 | 0.00 | 0.1 | 700 | 104.241
0.99 | 0.00 | 0.01 | 700 | 104.242
0.99 | 0.00 | 5.0 | 800 | 104.245
0.99 | 0.00 | 1.0 | 800 | 104.243
0.99 | 0.00 | 0.1 | 800 | 104.241
0.99 | 0.00 | 0.01 | 800 | 104.242
