no codigo usando soma de riemann mid point o chi = 1.2539943460630067j em b = 0 para modelo de massa em pl em sqrt_s = 7000 com 3 params para o modelo eiconalizado (maiores)


config:

eps_min = 0.09
mg_min = 0.99
a1_min = 2.0
m2pl
sqrtr = 7000

	- com fixed quad com 10000 pontos: chi = 1.2539943360804897j
	- quad com a config padrao: chi = 1.2539943342713995j
	
--------------------------
resultados via riemann com 32000 pontos 

b = 0.059296875, chi = 1.253867832164926j
b = 0.059765624999999996, chi = 1.2538658239470486j
b = 0.060234375, chi = 1.2538637999197058j
b = 0.060703125, chi = 1.253861760082967j
b = 0.061171875, chi = 1.2538597044369133j
b = 0.061640625, chi = 1.2538576329816398j
b = 0.062109374999999994, chi = 1.2538555457171894j
b = 0.062578125, chi = 1.2538534426436703j
b = 0.063046875, chi = 1.2538513237611566j
b = 0.06351562499999999, chi = 1.2538491890697343j
b = 0.063984375, chi = 1.25384703856947j
b = 0.064453125, chi = 1.2538448722604638j
b = 0.064921875, chi = 1.2538426901427773j
b = 0.065390625, chi = 1.2538404922165192j
b = 0.065859375, chi = 1.2538382784817435j
b = 0.066328125, chi = 1.2538360489385536j
b = 0.06679687499999999, chi = 1.2538338035870242j
b = 0.067265625, chi = 1.2538315424272464j
b = 0.067734375, chi = 1.2538292654593008j
b = 0.068203125, chi = 1.2538269726832942j
b = 0.068671875, chi = 1.25382466409929j
b = 0.069140625, chi = 1.2538223397073878j
b = 0.069609375, chi = 1.2538199995076662j
b = 0.07007812499999999, chi = 1.2538176435002304j
b = 0.070546875, chi = 1.253815271685146j
b = 0.071015625, chi = 1.2538128840625224j
b = 0.071484375, chi = 1.2538104806324548j
b = 0.07195312499999999, chi = 1.253808061395017j
b = 0.072421875, chi = 1.253805626350312j
b = 0.072890625, chi = 1.2538031754984336j
b = 0.07335937499999999, chi = 1.2538007088394623j
b = 0.073828125, chi = 1.2537982263735206j
b = 0.074296875, chi = 1.2537957281006695j
b = 0.074765625, chi = 1.2537932140210293j
b = 0.07523437499999999, chi = 1.25379068413467j
b = 0.075703125, chi = 1.253788138441694j
b = 0.076171875, chi = 1.2537855769422102j
b = 0.076640625, chi = 1.2537829996363279j
b = 0.077109375, chi = 1.253780406524134j
b = 0.077578125, chi = 1.2537777976056936j
b = 0.078046875, chi = 1.2537751728811524j
b = 0.07851562499999999, chi = 1.2537725323505964j
b = 0.078984375, chi = 1.2537698760140945j
b = 0.079453125, chi = 1.2537672038718093j
b = 0.079921875, chi = 1.253764515923799j
b = 0.080390625, chi = 1.2537618121701697j
b = 0.080859375, chi = 1.25375909261102j
b = 0.081328125, chi = 1.253756357246479j
b = 0.08179687499999999, chi = 1.2537536060766326j
b = 0.082265625, chi = 1.2537508391015855j
b = 0.082734375, chi = 1.2537480563214523j
b = 0.083203125, chi = 1.253745257736328j
b = 0.08367187499999999, chi = 1.2537424433463127j
b = 0.084140625, chi = 1.2537396131515264j
b = 0.084609375, chi = 1.2537367671520863j
b = 0.08507812499999999, chi = 1.2537339053480743j
b = 0.085546875, chi = 1.2537310277396254j
b = 0.086015625, chi = 1.253728134326819j
b = 0.086484375, chi = 1.2537252251098137j
b = 0.08695312499999999, chi = 1.253722300088653j
b = 0.087421875, chi = 1.253719359263509j
b = 0.087890625, chi = 1.253716402634464j
b = 0.08835937499999999, chi = 1.2537134302016304j
b = 0.088828125, chi = 1.2537104419651406j
b = 0.089296875, chi = 1.2537074379250892j
b = 0.089765625, chi = 1.253704418081573j
b = 0.09023437499999999, chi = 1.2537013824347445j
b = 0.090703125, chi = 1.2536983309847147j
b = 0.091171875, chi = 1.2536952637315848j
b = 0.091640625, chi = 1.2536921806754653j
b = 0.092109375, chi = 1.2536890818164945j
b = 0.092578125, chi = 1.253685967154772j
b = 0.093046875, chi = 1.2536828366904287j
b = 0.09351562499999999, chi = 1.2536796904235679j
b = 0.093984375, chi = 1.2536765283543312j
b = 0.094453125, chi = 1.2536733504828217j
b = 0.094921875, chi = 1.253670156809167j
b = 0.09539062499999999, chi = 1.2536669473334856j
b = 0.095859375, chi = 1.2536637220559197j
b = 0.096328125, chi = 1.253660480976559j
b = 0.09679687499999999, chi = 1.2536572240955401j
b = 0.097265625, chi = 1.2536539514129978j
b = 0.097734375, chi = 1.2536506629290372j
b = 0.098203125, chi = 1.2536473586438102j
b = 0.09867187499999999, chi = 1.253644038557403j
b = 0.099140625, chi = 1.253640702669975j
b = 0.099609375, chi = 1.2536373509816434j
b = 0.10007812499999999, chi = 1.2536339834925403j
b = 0.100546875, chi = 1.2536306002027933j
b = 0.101015625, chi = 1.2536272011124938j
b = 0.101484375, chi = 1.2536237862218411j
b = 0.10195312499999999, chi = 1.253620355530918j
b = 0.102421875, chi = 1.253616909039857j
b = 0.102890625, chi = 1.2536134467488156j
b = 0.10335937499999999, chi = 1.2536099686578663j
b = 0.103828125, chi = 1.253606474767215j
b = 0.104296875, chi = 1.2536029650769538j
b = 0.104765625, chi = 1.2535994395872212j
b = 0.10523437499999999, chi = 1.2535958982981588j
b = 0.105703125, chi = 1.2535923412098902j
b = 0.106171875, chi = 1.2535887683225635j
b = 0.106640625, chi = 1.2535851796363107j
b = 0.10710937499999999, chi = 1.253581575151256j
b = 0.107578125, chi = 1.2535779548675388j
b = 0.108046875, chi = 1.253574318785315j
b = 0.10851562499999999, chi = 1.253570666904724j
b = 0.108984375, chi = 1.2535669992258873j
b = 0.109453125, chi = 1.2535633157489239j
b = 0.109921875, chi = 1.2535596164740315j
b = 0.11039062499999999, chi = 1.2535559014013036j
b = 0.110859375, chi = 1.2535521705308872j
b = 0.111328125, chi = 1.2535484238629533j
b = 0.11179687499999999, chi = 1.2535446613976262j
b = 0.112265625, chi = 1.253540883135027j
b = 0.112734375, chi = 1.253537089075334j
b = 0.113203125, chi = 1.2535332792186675j
b = 0.11367187499999999, chi = 1.2535294535651915j
b = 0.114140625, chi = 1.25352561211505j
b = 0.114609375, chi = 1.2535217548683644j
b = 0.11507812499999999, chi = 1.253517881825313j
b = 0.115546875, chi = 1.25351399298603j
b = 0.116015625, chi = 1.2535100883506372j
b = 0.116484375, chi = 1.2535061679193336j
b = 0.11695312499999999, chi = 1.2535022316922386j
b = 0.117421875, chi = 1.2534982796694967j
b = 0.117890625, chi = 1.2534943118512603j
b = 0.11835937499999999, chi = 1.2534903282377163j
b = 0.11882812499999999, chi = 1.2534863288289666j
b = 0.119296875, chi = 1.2534823136251778j
b = 0.119765625, chi = 1.2534782826265198j
b = 0.12023437499999999, chi = 1.2534742358331363j
b = 0.120703125, chi = 1.2534701732451863j
b = 0.121171875, chi = 1.2534660948628078j
b = 0.121640625, chi = 1.2534620006861694j
b = 0.12210937499999999, chi = 1.2534578907154057j
b = 0.122578125, chi = 1.253453764950703j
b = 0.123046875, chi = 1.2534496233922117j
b = 0.12351562499999999, chi = 1.253445466040089j
b = 0.123984375, chi = 1.2534412928944714j
b = 0.124453125, chi = 1.2534371039555405j
b = 0.124921875, chi = 1.253432899223445j
b = 0.125390625, chi = 1.2534286786983617j
b = 0.125859375, chi = 1.253424442380415j
b = 0.12632812499999999, chi = 1.253420190269808j
b = 0.126796875, chi = 1.2534159223666679j
b = 0.127265625, chi = 1.2534116386712049j
b = 0.12773437499999998, chi = 1.2534073391835168j
b = 0.128203125, chi = 1.2534030239038099j
b = 0.128671875, chi = 1.253398692832233j
b = 0.129140625, chi = 1.2533943459689514j
b = 0.129609375, chi = 1.2533899833141455j
b = 0.130078125, chi = 1.2533856048679803j
b = 0.130546875, chi = 1.25338121063058j
b = 0.131015625, chi = 1.2533768006021822j
b = 0.131484375, chi = 1.2533723747828927j
b = 0.131953125, chi = 1.2533679331729162j
b = 0.132421875, chi = 1.2533634757724075j
b = 0.13289062499999998, chi = 1.253359002581533j
b = 0.133359375, chi = 1.2533545136004705j
b = 0.133828125, chi = 1.2533500088293907j
b = 0.13429687499999998, chi = 1.2533454882684523j
b = 0.134765625, chi = 1.2533409519178502j
b = 0.135234375, chi = 1.2533363997777411j
b = 0.135703125, chi = 1.2533318318482964j
b = 0.136171875, chi = 1.2533272481296789j
b = 0.136640625, chi = 1.2533226486220959j
b = 0.137109375, chi = 1.2533180333257083j
b = 0.137578125, chi = 1.2533134022406796j
b = 0.13804687499999999, chi = 1.2533087553671978j
b = 0.138515625, chi = 1.2533040927054258j
b = 0.138984375, chi = 1.2532994142555685j
b = 0.13945312499999998, chi = 1.2532947200177627j
b = 0.139921875, chi = 1.2532900099922362j
b = 0.140390625, chi = 1.2532852841791333j
b = 0.14085937499999998, chi = 1.253280542578637j
b = 0.141328125, chi = 1.2532757851909315j
b = 0.141796875, chi = 1.253271012016219j
b = 0.142265625, chi = 1.2532662230546496j
b = 0.142734375, chi = 1.2532614183064155j
b = 0.143203125, chi = 1.253256597771701j
b = 0.143671875, chi = 1.25325176145068j
b = 0.144140625, chi = 1.2532469093435579j
b = 0.14460937499999998, chi = 1.2532420414505108j
b = 0.145078125, chi = 1.2532371577717214j
b = 0.145546875, chi = 1.2532322583073712j
b = 0.14601562499999998, chi = 1.253227343057651j
b = 0.146484375, chi = 1.2532224120227382j
b = 0.146953125, chi = 1.2532174652028343j
b = 0.147421875, chi = 1.2532125025981242j
b = 0.147890625, chi = 1.2532075242088003j
b = 0.148359375, chi = 1.25320253003504j
b = 0.148828125, chi = 1.2531975200770298j
b = 0.149296875, chi = 1.2531924943349837j
b = 0.14976562499999999, chi = 1.2531874528090576j
b = 0.150234375, chi = 1.2531823954994925j
b = 0.150703125, chi = 1.2531773224064306j
b = 0.15117187499999998, chi = 1.2531722335300925j
b = 0.151640625, chi = 1.253167128870668j
b = 0.152109375, chi = 1.2531620084283448j

---------------------------------------------------------
resultados para o script temp usando quad aninhado com fixed quad em full int e no restante com quad com as configs 

n_points = 32000 # Number of points for fixed_quad integration


q_max_chi = 5.0          # limite de q na Eq. 23
b_max = 15.0
abs_t = 0.1


eps_rel = 1e-12
eps_abs = 1e-16


limit = 10000


b = 14.804298963878788, chi_real = 0.0, chi_imag = 0.0025882546045338265
b = 1.0120247498326158, chi_real = 0.0, chi_imag = 1.2176765001247882
b = 13.987975250167384, chi_real = 0.0, chi_imag = 0.0050048695000302346
b = 2.404428237757317, chi_real = 0.0, chi_imag = 1.062369955733683
b = 12.595571762242683, chi_real = 0.0, chi_imag = 0.01408124501486007
b = 4.249534544030646, chi_real = 0.0, chi_imag = 0.7474084899291389
b = 10.750465455969355, chi_real = 0.0, chi_imag = 0.047063654450669075
b = 6.383442457637766, chi_real = 0.0, chi_imag = 0.390993264977405
b = 8.616557542362234, chi_real = 0.0, chi_imag = 0.15097866243205663
b = 0.03257127730643905, chi_real = 0.0, chi_imag = 1.2539561590914172
b = 14.967428722693562, chi_real = 0.0, chi_imag = 0.002257147292573737
b = 0.5238188148321878, chi_real = 0.0, chi_imag = 1.2441591390077635
b = 14.476181185167812, chi_real = 0.0, chi_imag = 0.003390700293694922
b = 1.643867050601873, chi_real = 0.0, chi_imag = 1.1604424909177316
b = 13.356132949398127, chi_real = 0.0, chi_imag = 0.00811244868798379
b = 3.279321489985465, chi_real = 0.0, chi_imag = 0.921261372654621
b = 11.720678510014535, chi_real = 0.0, chi_imag = 0.025532536976619034
b = 5.292053529739048, chi_real = 0.0, chi_imag = 0.5624145909111556
b = 9.707946470260952, chi_real = 0.0, chi_imag = 0.08579282946603631
b = 3.75, chi_real = 0.0, chi_imag = 0.8379744229093492
b = 0.09785051806060618, chi_real = 0.0, chi_imag = 1.253649823404425
b = 7.402149481939394, chi_real = 0.0, chi_imag = 0.26217515180407974
b = 0.5060123749163079, chi_real = 0.0, chi_imag = 1.244814014274505
b = 6.993987625083692, chi_real = 0.0, chi_imag = 0.30985802670234175
b = 1.2022141188786586, chi_real = 0.0, chi_imag = 1.2030520271687746
b = 6.297785881121341, chi_real = 0.0, chi_imag = 0.4032868495783005
b = 2.124767272015323, chi_real = 0.0, chi_imag = 1.1016639599692672
b = 5.375232727984677, chi_real = 0.0, chi_imag = 0.5483410022988782
b = 3.191721228818883, chi_real = 0.0, chi_imag = 0.9363449187312909
b = 4.308278771181117, chi_real = 0.0, chi_imag = 0.7367350574467468
b = 0.016285638653219525, chi_real = 0.0, chi_imag = 1.253984791738352
b = 7.483714361346781, chi_real = 0.0, chi_imag = 0.2532829992534748
b = 0.2619094074160939, chi_real = 0.0, chi_imag = 1.2515282319041152
b = 7.238090592583906, chi_real = 0.0, chi_imag = 0.28070235701587265
b = 0.8219335253009366, chi_real = 0.0, chi_imag = 1.2299182236312332
b = 6.6780664746990634, chi_real = 0.0, chi_imag = 0.35039637322601896
b = 1.6396607449927325, chi_real = 0.0, chi_imag = 1.160902333379543
b = 5.8603392550072675, chi_real = 0.0, chi_imag = 0.46933464719067675
b = 2.646026764869524, chi_real = 0.0, chi_imag = 1.0258503146371172
b = 4.853973235130476, chi_real = 0.0, chi_imag = 0.6385790417758351
b = 11.25, chi_real = 0.0, chi_imag = 0.034569603081488674
b = 7.597850518060606, chi_real = 0.0, chi_imag = 0.241194095457639
b = 14.902149481939393, chi_real = 0.0, chi_imag = 0.002384742866362383
b = 8.006012374916308, chi_real = 0.0, chi_imag = 0.20129973015573782
b = 14.493987625083692, chi_real = 0.0, chi_imag = 0.003341959871097507
b = 8.702214118878658, chi_real = 0.0, chi_imag = 0.14476891713716467
b = 13.797785881121342, chi_real = 0.0, chi_imag = 0.005802156579139795
b = 9.624767272015323, chi_real = 0.0, chi_imag = 0.08977458063035977
b = 12.875232727984677, chi_real = 0.0, chi_imag = 0.011539841634425792
b = 10.691721228818883, chi_real = 0.0, chi_imag = 0.04875940789697493
b = 11.808278771181117, chi_real = 0.0, chi_imag = 0.02410060056359202
b = 7.516285638653219, chi_real = 0.0, chi_imag = 0.2497911149942197
b = 14.983714361346781, chi_real = 0.0, chi_imag = 0.0022262937591928933
b = 7.761909407416094, chi_real = 0.0, chi_imag = 0.2245364016531316
b = 14.738090592583905, chi_real = 0.0, chi_imag = 0.0027347379757542744
b = 8.321933525300937, chi_real = 0.0, chi_imag = 0.17390640474928087
b = 14.178066474699063, chi_real = 0.0, chi_imag = 0.004308216322948264
b = 9.139660744992732, chi_real = 0.0, chi_imag = 0.11609014894701815
b = 13.360339255007268, chi_real = 0.0, chi_imag = 0.008087018561510673
b = 10.146026764869525, chi_real = 0.0, chi_imag = 0.06714124144520257
b = 12.353973235130475, chi_real = 0.0, chi_imag = 0.016665492352747658
b = 7.5, chi_real = 0.0, chi_imag = 0.2515328525345454
b = 0.19570103612121237, chi_real = 0.0, chi_imag = 1.2526168562192754
b = 14.804298963878788, chi_real = 0.0, chi_imag = 0.0025882546045338265
b = 1.0120247498326158, chi_real = 0.0, chi_imag = 1.2176765001247882
b = 13.987975250167384, chi_real = 0.0, chi_imag = 0.0050048695000302346
b = 2.404428237757317, chi_real = 0.0, chi_imag = 1.062369955733683
b = 12.595571762242683, chi_real = 0.0, chi_imag = 0.01408124501486007
b = 4.249534544030646, chi_real = 0.0, chi_imag = 0.7474084899291389
b = 10.750465455969355, chi_real = 0.0, chi_imag = 0.047063654450669075
b = 6.383442457637766, chi_real = 0.0, chi_imag = 0.390993264977405
b = 8.616557542362234, chi_real = 0.0, chi_imag = 0.15097866243205663
b = 0.03257127730643905, chi_real = 0.0, chi_imag = 1.2539561590914172
b = 14.967428722693562, chi_real = 0.0, chi_imag = 0.002257147292573737
b = 0.5238188148321878, chi_real = 0.0, chi_imag = 1.2441591390077635
b = 14.476181185167812, chi_real = 0.0, chi_imag = 0.003390700293694922
b = 1.643867050601873, chi_real = 0.0, chi_imag = 1.1604424909177316
b = 13.356132949398127, chi_real = 0.0, chi_imag = 0.00811244868798379
b = 3.279321489985465, chi_real = 0.0, chi_imag = 0.921261372654621
b = 11.720678510014535, chi_real = 0.0, chi_imag = 0.025532536976619034
b = 5.292053529739048, chi_real = 0.0, chi_imag = 0.5624145909111556
b = 9.707946470260952, chi_real = 0.0, chi_imag = 0.08579282946603631
==================================================
  q2 = 0.0, A_eik = 813953905.8383689j
q2 = 0.0, diff_sigma_eik = 337.5438668991075
b = 7.5, chi_real = 0.0, chi_imag = 0.2515328525345454
b = 0.19570103612121237, chi_real = 0.0, chi_imag = 1.2526168562192754
b = 14.804298963878788, chi_real = 0.0, chi_imag = 0.0025882546045338265
b = 1.0120247498326158, chi_real = 0.0, chi_imag = 1.2176765001247882
b = 13.987975250167384, chi_real = 0.0, chi_imag = 0.0050048695000302346
b = 2.404428237757317, chi_real = 0.0, chi_imag = 1.062369955733683
