down | strategy | tol | ncall | sigma_tot
0.98 | 2.00 | 5.0 | 300 | 106.696
0.98 | 2.00 | 1.0 | 300 | 106.691
0.98 | 2.00 | 0.1 | 300 | 106.691
0.98 | 2.00 | 0.01 | 300 | 106.691
0.98 | 2.00 | 5.0 | 400 | 106.696
0.98 | 2.00 | 1.0 | 400 | 106.691
0.98 | 2.00 | 0.1 | 400 | 106.691
0.98 | 2.00 | 0.01 | 400 | 106.691
0.98 | 2.00 | 5.0 | 500 | 106.696
0.98 | 2.00 | 1.0 | 500 | 106.691
0.98 | 2.00 | 0.1 | 500 | 106.691
0.98 | 2.00 | 0.01 | 500 | 106.691
0.98 | 2.00 | 5.0 | 600 | 106.696
0.98 | 2.00 | 1.0 | 600 | 106.691
0.98 | 2.00 | 0.1 | 600 | 106.691
0.98 | 2.00 | 0.01 | 600 | 106.691
0.98 | 2.00 | 5.0 | 700 | 106.696
0.98 | 2.00 | 1.0 | 700 | 106.691
0.98 | 2.00 | 0.1 | 700 | 106.691
0.98 | 2.00 | 0.01 | 700 | 106.691
0.98 | 2.00 | 5.0 | 800 | 106.696
0.98 | 2.00 | 1.0 | 800 | 106.691
0.98 | 2.00 | 0.1 | 800 | 106.691
0.98 | 2.00 | 0.01 | 800 | 106.691
0.99 | 0.00 | 5.0 | 300 | 106.355
0.99 | 0.00 | 1.0 | 300 | 106.355
0.99 | 0.00 | 0.1 | 300 | 106.357
0.99 | 0.00 | 0.01 | 300 | 106.357
0.99 | 0.00 | 5.0 | 400 | 106.355
0.99 | 0.00 | 1.0 | 400 | 106.355
0.99 | 0.00 | 0.1 | 400 | 106.357
0.99 | 0.00 | 0.01 | 400 | 106.357
0.99 | 0.00 | 5.0 | 500 | 106.355
0.99 | 0.00 | 1.0 | 500 | 106.355
0.99 | 0.00 | 0.1 | 500 | 106.357
0.99 | 0.00 | 0.01 | 500 | 106.357
0.99 | 0.00 | 5.0 | 600 | 106.355
0.99 | 0.00 | 1.0 | 600 | 106.355
0.99 | 0.00 | 0.1 | 600 | 106.357
0.99 | 0.00 | 0.01 | 600 | 106.357
0.99 | 0.00 | 5.0 | 700 | 106.355
0.99 | 0.00 | 1.0 | 700 | 106.355
0.99 | 0.00 | 0.1 | 700 | 106.357
0.99 | 0.00 | 0.01 | 700 | 106.357
0.99 | 0.00 | 5.0 | 800 | 106.355
0.99 | 0.00 | 1.0 | 800 | 106.355
0.99 | 0.00 | 0.1 | 800 | 106.357
0.99 | 0.00 | 0.01 | 800 | 106.357
0.99 | 2.00 | 5.0 | 300 | 106.356
0.99 | 2.00 | 1.0 | 300 | 106.356
0.99 | 2.00 | 0.1 | 300 | 106.357
0.99 | 2.00 | 0.01 | 300 | 106.357
0.99 | 2.00 | 5.0 | 400 | 106.356
0.99 | 2.00 | 1.0 | 400 | 106.356
0.99 | 2.00 | 0.1 | 400 | 106.357
0.99 | 2.00 | 0.01 | 400 | 106.357
0.99 | 2.00 | 5.0 | 500 | 106.356
0.99 | 2.00 | 1.0 | 500 | 106.356
0.99 | 2.00 | 0.1 | 500 | 106.357
0.99 | 2.00 | 0.01 | 500 | 106.357
0.99 | 2.00 | 5.0 | 600 | 106.356
0.99 | 2.00 | 1.0 | 600 | 106.356
0.99 | 2.00 | 0.1 | 600 | 106.357
0.99 | 2.00 | 0.01 | 600 | 106.357
0.99 | 2.00 | 5.0 | 700 | 106.356
0.99 | 2.00 | 1.0 | 700 | 106.356
0.99 | 2.00 | 0.1 | 700 | 106.357
0.99 | 2.00 | 0.01 | 700 | 106.357
0.99 | 2.00 | 5.0 | 800 | 106.356
0.99 | 2.00 | 1.0 | 800 | 106.356
0.99 | 2.00 | 0.1 | 800 | 106.357
0.99 | 2.00 | 0.01 | 800 | 106.357
