down | strategy | ncall | sigma_tot
0.93 | 0.00 | 800 | 110.227
0.93 | 1.00 | 300 | 110.227
0.93 | 1.00 | 400 | 110.227
0.93 | 1.00 | 500 | 110.227
0.93 | 1.00 | 600 | 110.227
0.93 | 1.00 | 700 | 110.227
0.93 | 1.00 | 800 | 110.227
0.93 | 2.00 | 300 | 110.226
0.93 | 2.00 | 400 | 110.226
0.93 | 2.00 | 500 | 110.226
0.93 | 2.00 | 600 | 110.226
0.93 | 2.00 | 700 | 110.226
0.93 | 2.00 | 800 | 110.226
0.94 | 0.00 | 300 | 110.263
0.94 | 0.00 | 400 | 110.263
0.94 | 0.00 | 500 | 110.263
0.94 | 0.00 | 600 | 110.263
0.94 | 0.00 | 700 | 110.263
0.94 | 0.00 | 800 | 110.263
0.94 | 1.00 | 300 | 110.263
0.94 | 1.00 | 400 | 110.263
0.94 | 1.00 | 500 | 110.263
0.94 | 1.00 | 600 | 110.263
0.94 | 1.00 | 700 | 110.263
0.94 | 1.00 | 800 | 110.263
0.94 | 2.00 | 300 | 110.263
0.94 | 2.00 | 400 | 110.263
0.94 | 2.00 | 500 | 110.263
0.94 | 2.00 | 600 | 110.263
0.94 | 2.00 | 700 | 110.263
0.94 | 2.00 | 800 | 110.263
0.95 | 0.00 | 400 | 110.302
0.95 | 0.00 | 500 | 110.302
0.95 | 0.00 | 600 | 110.302
0.95 | 0.00 | 700 | 110.302
0.95 | 0.00 | 800 | 110.302
0.95 | 1.00 | 400 | 110.300
0.95 | 1.00 | 500 | 110.300
0.95 | 1.00 | 600 | 110.300
0.95 | 1.00 | 700 | 110.300
0.95 | 1.00 | 800 | 110.300
0.95 | 2.00 | 400 | 110.301
0.95 | 2.00 | 500 | 110.301
0.95 | 2.00 | 600 | 110.301
0.95 | 2.00 | 700 | 110.301
0.95 | 2.00 | 800 | 110.301
0.96 | 0.00 | 400 | 110.423
0.96 | 0.00 | 500 | 110.423
0.96 | 0.00 | 600 | 110.423
0.96 | 0.00 | 700 | 110.423
0.96 | 0.00 | 800 | 110.423
0.96 | 1.00 | 400 | 110.423
0.96 | 1.00 | 500 | 110.423
0.96 | 1.00 | 600 | 110.423
0.96 | 1.00 | 700 | 110.423
0.96 | 1.00 | 800 | 110.423
0.96 | 2.00 | 400 | 110.423
0.96 | 2.00 | 500 | 110.423
0.96 | 2.00 | 600 | 110.423
0.96 | 2.00 | 700 | 110.423
0.96 | 2.00 | 800 | 110.423
0.97 | 0.00 | 300 | 110.717
0.97 | 0.00 | 400 | 110.717
0.97 | 0.00 | 500 | 110.717
0.97 | 0.00 | 600 | 110.717
0.97 | 0.00 | 700 | 110.717
0.97 | 0.00 | 800 | 110.717
0.97 | 1.00 | 300 | 110.717
0.97 | 1.00 | 400 | 110.717
0.97 | 1.00 | 500 | 110.717
0.97 | 1.00 | 600 | 110.717
0.97 | 1.00 | 700 | 110.717
0.97 | 1.00 | 800 | 110.717
0.97 | 2.00 | 300 | 110.717
0.97 | 2.00 | 400 | 110.717
0.97 | 2.00 | 500 | 110.717
0.97 | 2.00 | 600 | 110.717
0.97 | 2.00 | 700 | 110.717
0.97 | 2.00 | 800 | 110.717
